commodity,usda_fdc_id,usda_description,category
ALFALFA SPROUTS,168384,"Alfalfa seeds, sprouted, raw",nut
ALMONDS,170567,"Nuts, almonds",nut
APPLES,171688,"Apples, raw, with skin (Includes foods for USDA's Food Distribution Program)",fruit
APRICOTS,171697,"Apricots, raw",fruit
ARTICHOKES,169205,"Artichokes, (globe or french), raw",vegetable
ARUGULA/ROCKET,169387,"Arugula, raw",vegetable
ASPARAGUS,168389,"Asparagus, raw",vegetable
AVOCADOS,171705,"Avocados, raw, all commercial varieties",vegetable
Amaranth/Callaloo/Een Choy,168385,"Amaranth leaves, raw",vegetable
BANANAS,173944,"Bananas, raw",fruit
BASIL,172232,"Basil, fresh",herb
BAY LEAVES,170917,"Spices, bay leaf",herb
BEAN SPROUTS,169957,"Mung beans, mature seeds, sprouted, raw",nut
BEANS,169961,"Beans, snap, green, raw",vegetable
BEET GREENS,170375,"Beet greens, raw",vegetable
BEETS,169145,"Beets, raw",vegetable
BELGIAN ENDIVE (WITLOOF CHICORY),168412,"Endive, raw",vegetable
BITTER MELON/BITTER GOURD,168391,"Balsam-pear (bitter gourd), leafy tips, raw",vegetable
BOK CHOY (PAK CHOI),170390,"Cabbage, chinese (pak-choi), raw",vegetable
BONIATO,168482,"Sweet potato, raw, unprepared (Includes foods for USDA's Food Distribution Program)",vegetable
BRAZILNUTS,170569,"Nuts, brazilnuts, dried, unblanched",nut
BREADFRUIT,171714,"Breadfruit, raw",fruit
BROCCOLI,170379,"Broccoli, raw",vegetable
BRUSSELS SPROUTS,170383,"Brussels sprouts, raw",vegetable
CABBAGE,169975,"Cabbage, raw",vegetable
CACTUS LEAVES (Nopales/Cactus Pads),168571,"Nopales, raw",vegetable
CACTUS PEAR (PRICKLY PEAR),167750,"Prickly pears, raw",fruit
CARAMBOLA (STARFRUIT),171715,"Carambola, (starfruit), raw",fruit
CARDOON (CARDONI),169981,"Cardoon, raw",vegetable
CARROTS,170393,"Carrots, raw",vegetable
CASHEWS,170162,"Nuts, cashew nuts, raw",nut
CAULIFLOWER,169986,"Cauliflower, raw",vegetable
CELERY,169988,"Celery, raw",vegetable
CELERY ROOT/CELERIAC,170400,"Celeriac, raw",vegetable
CHARD (SWISS CHARD)/SILVERBEET,169991,"Chard, swiss, raw",vegetable
CHERIMOYA,173953,"Cherimoya, raw",fruit
CHERRIES,171719,"Cherries, sweet, raw",fruit
CHERVIL,171318,"Spices, chervil, dried",herb
CHESTNUTS,170574,"Nuts, chestnuts, european, raw, unpeeled",nut
CHICKPEAS,173756,"Chickpeas (garbanzo beans, bengal gram), mature seeds, raw",nut
CHIVES,169994,"Chives, raw",herb
GAI (GUI) CHOY (CHINESE or INDIAN MUSTARD),169256,"Mustard greens, raw",vegetable
GAI LAN,169404,"Broccoli, chinese, raw",vegetable
CILANTRO (CHINESE PARSLEY/CORIANDER),169997,"Coriander (cilantro) leaves, raw",herb
COCONUTS,170169,"Nuts, coconut meat, raw",nut
CORN,168538,"Corn, sweet, white, raw",vegetable
CUCUMBER,168409,"Cucumber, with peel, raw",vegetable
CURRANTS,173963,"Currants, european black, raw",fruit
DAIKON,168451,"Radishes, oriental, raw",vegetable
DATES,168191,"Dates, medjool",fruit
DILL,172233,"Dill weed, fresh",herb
EGGPLANT (AUBERGINE),169228,"Eggplant, raw",vegetable
ENDIVE/CHICORY,168412,"Endive, raw",vegetable
ESCAROLE/BATAVIAN CHICORY,168413,"Escarole, cooked, boiled, drained, no salt added",vegetable
FEIJOA,168176,"Feijoa, raw",fruit
FENNEL,169385,"Fennel, bulb, raw",vegetable
FIDDLEHEAD FERNS,169405,"Fiddlehead ferns, raw",vegetable
FIGS,173021,"Figs, raw",fruit
FILBERTS,170581,"Nuts, hazelnuts or filberts",nut
GARLIC,169230,"Garlic, raw",vegetable
GINGER ROOT,169231,"Ginger root, raw",vegetable
GOBO ROOT/BURDOCK,169974,"Burdock root, raw",vegetable
GRAPEFRUIT,173033,"Grapefruit, raw, pink and red and white, all areas",fruit
GRAPES,173040,"Grapes, muscadine, raw",fruit
GUAVA,173044,"Guavas, common, raw",fruit
HORSERADISH ROOT,,"Not found in SR Legacy",vegetable
JACKFRUIT,174687,"Jackfruit, raw",fruit
JICAMA/YAM BEAN,170073,"Yambean (jicama), raw",vegetable
KALE,168421,"Kale, raw",vegetable
KIWIFRUIT,168153,"Kiwifruit, green, raw",fruit
KOHLRABI,168424,"Kohlrabi, raw",vegetable
KUMQUAT,168154,"Kumquats, raw",fruit
